,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing[30, 1]",-0.08,1.004,-1.776,1.878,0.017,0.024,3291.799,1391.203,1.002
"eta_inducing[31, 0]",-0.065,0.894,-1.83,1.507,0.016,0.02,3223.275,1615.76,1.001
"eta_inducing[31, 1]",-0.062,0.979,-1.829,1.764,0.016,0.025,3953.722,1507.497,1.006
"eta_inducing[32, 0]",0.063,0.963,-1.738,1.806,0.015,0.026,3959.526,1372.503,1.003
"eta_inducing[32, 1]",-0.085,0.989,-1.863,1.918,0.016,0.033,4059.182,983.013,1.006
"eta_inducing[33, 0]",0.147,0.918,-1.621,1.796,0.016,0.022,3321.881,1221.072,1.0
"eta_inducing[33, 1]",-0.054,0.996,-1.859,1.766,0.014,0.025,4854.294,1499.298,1.002
"eta_inducing[34, 0]",0.221,0.96,-1.616,1.909,0.016,0.024,3731.68,1453.745,1.002
"eta_inducing[34, 1]",-0.083,0.996,-1.866,1.871,0.017,0.028,3430.098,1368.91,1.004
"eta_inducing[35, 0]",0.32,0.918,-1.521,1.941,0.014,0.025,4299.281,1286.727,1.0
"eta_inducing[35, 1]",-0.048,1.008,-1.921,1.835,0.016,0.024,3844.432,1536.787,1.001
"eta_inducing[36, 0]",0.344,0.925,-1.536,1.996,0.014,0.024,4594.354,1371.625,1.005
"eta_inducing[36, 1]",-0.069,0.996,-1.903,1.786,0.015,0.028,4448.021,1568.361,1.002
"eta_inducing[37, 0]",0.381,0.954,-1.362,2.114,0.015,0.021,3940.272,1734.739,1.006
"eta_inducing[37, 1]",-0.029,0.978,-1.941,1.774,0.015,0.026,4198.295,1436.663,1.003
"eta_inducing[38, 0]",0.38,0.958,-1.476,2.131,0.016,0.025,3816.59,1405.84,1.002
"eta_inducing[38, 1]",-0.009,1.051,-1.902,1.983,0.016,0.028,4224.078,1259.901,1.002
"eta_inducing[39, 0]",0.363,0.937,-1.569,1.963,0.014,0.023,4404.73,1342.365,1.003
"eta_inducing[39, 1]",-0.042,1.009,-1.896,1.82,0.016,0.03,4118.056,1154.491,1.001
"eta_inducing[40, 0]",0.334,0.954,-1.417,2.089,0.014,0.022,4542.725,1559.72,1.002
"eta_inducing[40, 1]",-0.021,0.988,-1.962,1.701,0.015,0.023,4390.625,1381.03,1.005
"eta_inducing[41, 0]",0.272,0.946,-1.488,1.96,0.013,0.021,4813.801,1514.355,1.001
"eta_inducing[41, 1]",-0.025,0.988,-1.868,1.81,0.016,0.024,3820.631,1510.106,1.007
"eta_inducing[42, 0]",0.244,0.966,-1.502,2.139,0.016,0.03,3622.075,984.905,0.999
"eta_inducing[42, 1]",-0.02,0.976,-1.83,1.855,0.014,0.026,4610.135,1282.961,1.0
"eta_inducing[43, 0]",0.181,0.954,-1.63,1.928,0.015,0.023,4167.318,1488.48,1.0
"eta_inducing[43, 1]",-0.021,1.005,-1.992,1.776,0.016,0.028,4029.963,1299.206,1.005
"eta_inducing[44, 0]",0.168,0.983,-1.685,2.004,0.015,0.028,4470.475,1444.337,1.0
"eta_inducing[44, 1]",-0.051,0.981,-2.058,1.631,0.015,0.024,4334.703,1300.772,1.005
"eta_inducing[45, 0]",0.154,0.966,-1.644,1.917,0.015,0.025,4373.807,1486.756,1.001
"eta_inducing[45, 1]",-0.018,1.004,-1.919,1.818,0.015,0.023,4499.576,1389.48,0.999
"eta_inducing[46, 0]",0.116,0.944,-1.61,1.847,0.015,0.022,3907.833,1524.918,1.008
"eta_inducing[46, 1]",0.022,0.983,-1.705,1.905,0.014,0.028,5234.596,1384.458,1.008
"eta_inducing[47, 0]",0.077,1.022,-1.948,1.863,0.015,0.027,4732.816,1447.211,1.009
"eta_inducing[47, 1]",-0.006,1.001,-1.895,1.903,0.017,0.027,3547.153,1212.337,1.005
"eta_inducing[48, 0]",0.073,1.044,-1.873,2.149,0.014,0.036,5296.161,1035.359,1.005
"eta_inducing[48, 1]",-0.015,1.006,-2.04,1.784,0.015,0.027,4304.371,1359.22,1.001
"eta_inducing[49, 0]",0.024,0.973,-1.797,1.845,0.016,0.026,3582.866,1087.807,1.0
"eta_inducing[49, 1]",-0.013,1.026,-2.029,1.792,0.016,0.029,4293.243,1373.016,1.0
"K_uu_weight[0, 0]",1.002,0.448,0.332,1.805,0.011,0.013,1587.497,1523.932,1.0
"K_uu_weight[0, 1]",0.996,0.446,0.326,1.791,0.011,0.013,1585.553,1523.932,1.0
"K_uu_weight[0, 2]",0.979,0.441,0.32,1.763,0.011,0.013,1579.754,1523.932,1.0
"K_uu_weight[0, 3]",0.951,0.433,0.289,1.699,0.011,0.013,1569.425,1500.248,0.999
"K_uu_weight[0, 4]",0.913,0.422,0.273,1.644,0.011,0.012,1553.645,1524.009,1.0
"K_uu_weight[0, 5]",0.866,0.408,0.282,1.605,0.01,0.012,1531.753,1524.009,1.0
"K_uu_weight[0, 6]",0.813,0.393,0.259,1.529,0.01,0.012,1499.976,1523.757,1.0
"K_uu_weight[0, 7]",0.755,0.376,0.21,1.432,0.01,0.011,1446.297,1524.163,1.0
"K_uu_weight[0, 8]",0.694,0.358,0.199,1.365,0.01,0.011,1386.339,1548.452,0.999
"K_uu_weight[0, 9]",0.632,0.339,0.163,1.252,0.009,0.01,1322.543,1539.029,1.0
"K_uu_weight[0, 10]",0.569,0.319,0.127,1.162,0.009,0.01,1267.754,1493.448,1.0
