,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_weight[19, 10]",0.645,0.361,0.15,1.319,0.01,0.011,1339.708,1281.648,1.002
"K_uu_weight[19, 11]",0.707,0.381,0.18,1.415,0.01,0.012,1400.749,1407.779,1.002
"K_uu_weight[19, 12]",0.768,0.4,0.185,1.478,0.01,0.012,1465.23,1366.363,1.002
"K_uu_weight[19, 13]",0.825,0.417,0.218,1.574,0.011,0.013,1509.799,1448.679,1.002
"K_uu_weight[19, 14]",0.878,0.433,0.221,1.635,0.011,0.013,1552.546,1405.235,1.002
"K_uu_weight[19, 15]",0.923,0.447,0.284,1.756,0.011,0.013,1583.6,1401.527,1.002
"K_uu_weight[19, 16]",0.961,0.458,0.265,1.781,0.011,0.013,1610.061,1414.322,1.002
"K_uu_weight[19, 17]",0.989,0.467,0.256,1.81,0.012,0.014,1627.325,1436.312,1.002
"K_uu_weight[19, 18]",1.006,0.472,0.265,1.841,0.012,0.014,1634.958,1393.173,1.002
"K_uu_weight[19, 19]",1.012,0.474,0.306,1.89,0.012,0.014,1637.995,1440.767,1.002
"K_uu_weight[19, 20]",1.006,0.472,0.265,1.841,0.012,0.014,1634.958,1393.173,1.002
