,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing_raw[45, 1]",-0.011,1.023,-1.852,2.059,0.016,0.026,4219.623,1305.336,1.004
"eta_inducing_raw[46, 0]",0.065,0.995,-1.894,1.867,0.015,0.032,4271.005,1198.755,1.006
"eta_inducing_raw[46, 1]",0.003,0.986,-1.918,1.845,0.018,0.024,2939.417,1343.782,1.001
"eta_inducing_raw[47, 0]",0.067,0.997,-1.79,1.939,0.015,0.024,4601.524,1359.044,1.004
"eta_inducing_raw[47, 1]",-0.003,0.975,-1.844,1.738,0.016,0.022,3602.782,1568.656,1.002
"eta_inducing_raw[48, 0]",0.048,0.972,-1.804,1.864,0.014,0.026,4594.814,1211.14,1.003
"eta_inducing_raw[48, 1]",0.03,0.96,-1.736,1.762,0.015,0.025,4299.81,1310.824,1.003
"eta_inducing_raw[49, 0]",0.012,1.014,-1.707,2.112,0.013,0.029,5943.241,1204.82,0.999
"eta_inducing_raw[49, 1]",-0.009,0.987,-1.859,1.822,0.014,0.028,4901.492,1162.596,1.001
"eta_inducing[0, 0]",-1.662,0.47,-2.546,-0.772,0.01,0.01,2110.911,1600.274,1.001
"eta_inducing[0, 1]",-1.296,0.498,-2.258,-0.502,0.014,0.01,1161.471,928.555,1.002
"eta_inducing[1, 0]",-0.638,0.776,-2.19,0.806,0.018,0.018,1866.534,1380.063,1.001
"eta_inducing[1, 1]",-0.036,0.673,-1.275,1.329,0.014,0.021,2475.485,1157.981,1.012
"eta_inducing[2, 0]",-0.647,0.924,-2.424,1.048,0.015,0.024,3991.475,1203.831,1.003
"eta_inducing[2, 1]",-0.03,0.87,-1.674,1.496,0.014,0.022,3630.359,1281.108,1.004
"eta_inducing[3, 0]",-0.787,0.922,-2.469,0.946,0.015,0.021,3594.768,1798.352,0.999
"eta_inducing[3, 1]",-0.089,0.902,-1.774,1.491,0.014,0.028,4409.555,1572.988,1.003
"eta_inducing[4, 0]",-0.628,0.898,-2.324,1.035,0.014,0.022,3957.289,1340.761,1.0
"eta_inducing[4, 1]",-0.109,0.966,-1.86,1.72,0.015,0.024,3996.137,1339.24,1.0
"eta_inducing[5, 0]",-0.533,0.981,-2.377,1.217,0.017,0.025,3482.407,1304.993,0.999
"eta_inducing[5, 1]",-0.111,0.998,-2.068,1.689,0.014,0.024,4818.143,1585.159,1.007
"eta_inducing[6, 0]",-0.446,0.981,-2.274,1.402,0.017,0.026,3197.651,1387.278,1.003
"eta_inducing[6, 1]",-0.172,0.983,-2.019,1.658,0.016,0.025,3713.12,1190.53,1.007
"eta_inducing[7, 0]",-0.283,0.956,-2.022,1.579,0.019,0.025,2612.596,1378.743,1.001
"eta_inducing[7, 1]",-0.183,0.91,-1.953,1.403,0.015,0.02,3644.042,1395.888,1.002
"eta_inducing[8, 0]",-0.107,0.969,-1.907,1.635,0.016,0.026,3670.981,1511.102,1.003
"eta_inducing[8, 1]",-0.167,0.963,-1.826,1.838,0.016,0.023,3567.528,1537.426,1.0
"eta_inducing[9, 0]",0.053,0.965,-1.767,1.802,0.017,0.025,3404.626,1540.615,1.002
"eta_inducing[9, 1]",-0.167,0.973,-1.888,1.63,0.015,0.023,4224.833,1501.013,1.002
