,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_workout[38, 26]",0.071,0.08,0.007,0.201,0.004,0.011,912.836,659.925,1.004
"K_uu_workout[38, 27]",0.071,0.08,0.007,0.201,0.004,0.011,907.633,664.121,1.004
"K_uu_workout[38, 28]",0.071,0.08,0.007,0.201,0.004,0.011,903.076,664.121,1.004
"K_uu_workout[38, 29]",0.071,0.08,0.007,0.201,0.004,0.011,899.245,664.121,1.004
"K_uu_workout[38, 30]",0.071,0.08,0.007,0.202,0.004,0.011,894.308,664.121,1.004
"K_uu_workout[38, 31]",0.072,0.081,0.007,0.202,0.004,0.011,888.702,664.121,1.004
"K_uu_workout[38, 32]",0.072,0.081,0.007,0.202,0.004,0.011,886.42,664.121,1.004
"K_uu_workout[38, 33]",0.072,0.081,0.007,0.202,0.004,0.011,883.685,664.121,1.004
"K_uu_workout[38, 34]",0.072,0.081,0.007,0.202,0.004,0.011,881.91,668.391,1.004
"K_uu_workout[38, 35]",0.072,0.081,0.007,0.203,0.004,0.011,879.548,668.391,1.004
"K_uu_workout[38, 36]",0.072,0.081,0.007,0.203,0.004,0.011,878.076,668.391,1.004
"K_uu_workout[38, 37]",0.072,0.081,0.007,0.203,0.004,0.011,873.541,668.391,1.004
"K_uu_workout[38, 38]",0.072,0.081,0.007,0.203,0.004,0.011,873.401,668.391,1.004
"K_uu_workout[38, 39]",0.072,0.081,0.007,0.203,0.004,0.011,873.541,668.391,1.004
"K_uu_workout[38, 40]",0.072,0.081,0.007,0.203,0.004,0.011,878.076,668.391,1.004
"K_uu_workout[38, 41]",0.072,0.081,0.007,0.203,0.004,0.011,879.548,668.391,1.004
"K_uu_workout[38, 42]",0.072,0.081,0.007,0.202,0.004,0.011,881.91,668.391,1.004
"K_uu_workout[38, 43]",0.072,0.081,0.007,0.202,0.004,0.011,883.685,664.121,1.004
"K_uu_workout[38, 44]",0.072,0.081,0.007,0.202,0.004,0.011,886.42,664.121,1.004
"K_uu_workout[38, 45]",0.072,0.081,0.007,0.202,0.004,0.011,888.702,664.121,1.004
"K_uu_workout[38, 46]",0.071,0.08,0.007,0.202,0.004,0.011,894.308,664.121,1.004
"K_uu_workout[38, 47]",0.071,0.08,0.007,0.201,0.004,0.011,899.245,664.121,1.004
"K_uu_workout[38, 48]",0.071,0.08,0.007,0.201,0.004,0.011,903.076,664.121,1.004
"K_uu_workout[38, 49]",0.071,0.08,0.007,0.201,0.004,0.011,907.633,664.121,1.004
"K_uu_workout[39, 0]",0.059,0.071,0.002,0.178,0.003,0.009,1155.995,688.795,1.004
"K_uu_workout[39, 1]",0.06,0.071,0.002,0.179,0.003,0.009,1152.694,688.795,1.004
"K_uu_workout[39, 2]",0.06,0.072,0.003,0.18,0.004,0.009,1145.863,694.047,1.004
"K_uu_workout[39, 3]",0.061,0.072,0.004,0.182,0.004,0.009,1132.318,679.376,1.004
"K_uu_workout[39, 4]",0.061,0.073,0.005,0.184,0.004,0.009,1123.567,679.376,1.004
"K_uu_workout[39, 5]",0.062,0.073,0.004,0.184,0.004,0.009,1118.347,659.669,1.004
